cultivar	flowcell_lane	filename	PlateID	readMappingIds
ZeaSynDH-690.fastq	gbsFlowcell	ZeaSynDH-690.fastq	gbs	78
ZeaSynDH-3585.fastq	gbsFlowcell	ZeaSynDH-3585.fastq	gbs	79
ZeaSynDH-485.fastq	gbsFlowcell	ZeaSynDH-485.fastq	gbs	80
ZeaSynDH-147.fastq	gbsFlowcell	ZeaSynDH-147.fastq	gbs	81
ZeaSynDH-1022.fastq	gbsFlowcell	ZeaSynDH-1022.fastq	gbs	82
ZeaSynDH-12.fastq	gbsFlowcell	ZeaSynDH-12.fastq	gbs	83
ZeaSynDH-239.fastq	gbsFlowcell	ZeaSynDH-239.fastq	gbs	84
ZeaSynDH-533.fastq	gbsFlowcell	ZeaSynDH-533.fastq	gbs	85
ZeaSynDH-428.fastq	gbsFlowcell	ZeaSynDH-428.fastq	gbs	86
ZeaSynDH-296.fastq	gbsFlowcell	ZeaSynDH-296.fastq	gbs	87
ZeaSynDH-1027.fastq	gbsFlowcell	ZeaSynDH-1027.fastq	gbs	88
ZeaSynDH-141.fastq	gbsFlowcell	ZeaSynDH-141.fastq	gbs	89
ZeaSynDH-2627.fastq	gbsFlowcell	ZeaSynDH-2627.fastq	gbs	90
ZeaSynDH-386.fastq	gbsFlowcell	ZeaSynDH-386.fastq	gbs	91
ZeaSynDH-1407.fastq	gbsFlowcell	ZeaSynDH-1407.fastq	gbs	92
ZeaSynDH-1135.fastq	gbsFlowcell	ZeaSynDH-1135.fastq	gbs	93
ZeaSynDH-263.fastq	gbsFlowcell	ZeaSynDH-263.fastq	gbs	94
ZeaSynDH-121.fastq	gbsFlowcell	ZeaSynDH-121.fastq	gbs	95
ZeaSynDH-525.fastq	gbsFlowcell	ZeaSynDH-525.fastq	gbs	96
ZeaSynDH-423.fastq	gbsFlowcell	ZeaSynDH-423.fastq	gbs	97
ZeaSynDH-1095.fastq	gbsFlowcell	ZeaSynDH-1095.fastq	gbs	98
ZeaSynDH-1025.fastq	gbsFlowcell	ZeaSynDH-1025.fastq	gbs	99
ZeaSynDH-1165.fastq	gbsFlowcell	ZeaSynDH-1165.fastq	gbs	100
ZeaSynDH-434.fastq	gbsFlowcell	ZeaSynDH-434.fastq	gbs	101
ZeaSynDH-718.fastq	gbsFlowcell	ZeaSynDH-718.fastq	gbs	102
ZeaSynDH-41.fastq	gbsFlowcell	ZeaSynDH-41.fastq	gbs	103
ZeaSynDH-451.fastq	gbsFlowcell	ZeaSynDH-451.fastq	gbs	104
ZeaSynDH-197.fastq	gbsFlowcell	ZeaSynDH-197.fastq	gbs	105
ZeaSynDH-1092.fastq	gbsFlowcell	ZeaSynDH-1092.fastq	gbs	106
ZeaSynDH-1443.fastq	gbsFlowcell	ZeaSynDH-1443.fastq	gbs	107
ZeaSynDH-825.fastq	gbsFlowcell	ZeaSynDH-825.fastq	gbs	108
ZeaSynDH-564.fastq	gbsFlowcell	ZeaSynDH-564.fastq	gbs	109
ZeaSynDH-1096.fastq	gbsFlowcell	ZeaSynDH-1096.fastq	gbs	110
ZeaSynDH-51.fastq	gbsFlowcell	ZeaSynDH-51.fastq	gbs	111
ZeaSynDH-298.fastq	gbsFlowcell	ZeaSynDH-298.fastq	gbs	112
ZeaSynDH-105.fastq	gbsFlowcell	ZeaSynDH-105.fastq	gbs	113
ZeaSynDH-145.fastq	gbsFlowcell	ZeaSynDH-145.fastq	gbs	114
ZeaSynDH-364.fastq	gbsFlowcell	ZeaSynDH-364.fastq	gbs	115
ZeaSynDH-286.fastq	gbsFlowcell	ZeaSynDH-286.fastq	gbs	116
ZeaSynDH-2.fastq	gbsFlowcell	ZeaSynDH-2.fastq	gbs	117
ZeaSynDH-282.fastq	gbsFlowcell	ZeaSynDH-282.fastq	gbs	118
ZeaSynDH-15.fastq	gbsFlowcell	ZeaSynDH-15.fastq	gbs	119
ZeaSynDH-2444.fastq	gbsFlowcell	ZeaSynDH-2444.fastq	gbs	120
ZeaSynDH-265.fastq	gbsFlowcell	ZeaSynDH-265.fastq	gbs	121
ZeaSynDH-183.fastq	gbsFlowcell	ZeaSynDH-183.fastq	gbs	122
ZeaSynDH-324.fastq	gbsFlowcell	ZeaSynDH-324.fastq	gbs	123
ZeaSynDH-2389.fastq	gbsFlowcell	ZeaSynDH-2389.fastq	gbs	124
ZeaSynDH-1195.fastq	gbsFlowcell	ZeaSynDH-1195.fastq	gbs	125
ZeaSynDH-830.fastq	gbsFlowcell	ZeaSynDH-830.fastq	gbs	126
ZeaSynDH-2050.fastq	gbsFlowcell	ZeaSynDH-2050.fastq	gbs	127
ZeaSynDH-701.fastq	gbsFlowcell	ZeaSynDH-701.fastq	gbs	128
ZeaSynDH-1229.fastq	gbsFlowcell	ZeaSynDH-1229.fastq	gbs	129
ZeaSynDH-2525.fastq	gbsFlowcell	ZeaSynDH-2525.fastq	gbs	130
ZeaSynDH-148.fastq	gbsFlowcell	ZeaSynDH-148.fastq	gbs	131
ZeaSynDH-308.fastq	gbsFlowcell	ZeaSynDH-308.fastq	gbs	132
ZeaSynDH-153.fastq	gbsFlowcell	ZeaSynDH-153.fastq	gbs	133
ZeaSynDH-2089.fastq	gbsFlowcell	ZeaSynDH-2089.fastq	gbs	134
ZeaSynDH-3656.fastq	gbsFlowcell	ZeaSynDH-3656.fastq	gbs	135
ZeaSynDH-1233.fastq	gbsFlowcell	ZeaSynDH-1233.fastq	gbs	136
ZeaSynDH-429.fastq	gbsFlowcell	ZeaSynDH-429.fastq	gbs	137
ZeaSynDH-1656.fastq	gbsFlowcell	ZeaSynDH-1656.fastq	gbs	138
ZeaSynDH-1032.fastq	gbsFlowcell	ZeaSynDH-1032.fastq	gbs	139
ZeaSynDH-481.fastq	gbsFlowcell	ZeaSynDH-481.fastq	gbs	140
ZeaSynDH-537.fastq	gbsFlowcell	ZeaSynDH-537.fastq	gbs	141
ZeaSynDH-1258.fastq	gbsFlowcell	ZeaSynDH-1258.fastq	gbs	142
ZeaSynDH-1455.fastq	gbsFlowcell	ZeaSynDH-1455.fastq	gbs	143
ZeaSynDH-98.fastq	gbsFlowcell	ZeaSynDH-98.fastq	gbs	144
ZeaSynDH-511.fastq	gbsFlowcell	ZeaSynDH-511.fastq	gbs	145
ZeaSynDH-2105.fastq	gbsFlowcell	ZeaSynDH-2105.fastq	gbs	146
ZeaSynDH-394.fastq	gbsFlowcell	ZeaSynDH-394.fastq	gbs	147
ZeaSynDH-543.fastq	gbsFlowcell	ZeaSynDH-543.fastq	gbs	148
ZeaSynDH-2019.fastq	gbsFlowcell	ZeaSynDH-2019.fastq	gbs	149
ZeaSynDH-2320.fastq	gbsFlowcell	ZeaSynDH-2320.fastq	gbs	150
ZeaSynDH-2144.fastq	gbsFlowcell	ZeaSynDH-2144.fastq	gbs	151
ZeaSynDH-199.fastq	gbsFlowcell	ZeaSynDH-199.fastq	gbs	152
ZeaSynDH-414.fastq	gbsFlowcell	ZeaSynDH-414.fastq	gbs	153
ZeaSynDH-498.fastq	gbsFlowcell	ZeaSynDH-498.fastq	gbs	154
ZeaSynDH-603.fastq	gbsFlowcell	ZeaSynDH-603.fastq	gbs	155
ZeaSynDH-1414.fastq	gbsFlowcell	ZeaSynDH-1414.fastq	gbs	156
ZeaSynDH-2676.fastq	gbsFlowcell	ZeaSynDH-2676.fastq	gbs	157
ZeaSynDH-1222.fastq	gbsFlowcell	ZeaSynDH-1222.fastq	gbs	158
ZeaSynDH-2085.fastq	gbsFlowcell	ZeaSynDH-2085.fastq	gbs	159
ZeaSynDH-90.fastq	gbsFlowcell	ZeaSynDH-90.fastq	gbs	160
ZeaSynDH-1038.fastq	gbsFlowcell	ZeaSynDH-1038.fastq	gbs	161
ZeaSynDH-128.fastq	gbsFlowcell	ZeaSynDH-128.fastq	gbs	162
ZeaSynDH-67.fastq	gbsFlowcell	ZeaSynDH-67.fastq	gbs	163
ZeaSynDH-1376.fastq	gbsFlowcell	ZeaSynDH-1376.fastq	gbs	164
ZeaSynDH-1105.fastq	gbsFlowcell	ZeaSynDH-1105.fastq	gbs	165
ZeaSynDH-626.fastq	gbsFlowcell	ZeaSynDH-626.fastq	gbs	166
ZeaSynDH-289.fastq	gbsFlowcell	ZeaSynDH-289.fastq	gbs	167
ZeaSynDH-1078.fastq	gbsFlowcell	ZeaSynDH-1078.fastq	gbs	168
ZeaSynDH-1355.fastq	gbsFlowcell	ZeaSynDH-1355.fastq	gbs	169
ZeaSynDH-31.fastq	gbsFlowcell	ZeaSynDH-31.fastq	gbs	170
ZeaSynDH-419.fastq	gbsFlowcell	ZeaSynDH-419.fastq	gbs	171
ZeaSynDH-380.fastq	gbsFlowcell	ZeaSynDH-380.fastq	gbs	172
ZeaSynDH-458.fastq	gbsFlowcell	ZeaSynDH-458.fastq	gbs	173
ZeaSynDH-208.fastq	gbsFlowcell	ZeaSynDH-208.fastq	gbs	174
ZeaSynDH-489.fastq	gbsFlowcell	ZeaSynDH-489.fastq	gbs	175
ZeaSynDH-71.fastq	gbsFlowcell	ZeaSynDH-71.fastq	gbs	176
ZeaSynDH-108.fastq	gbsFlowcell	ZeaSynDH-108.fastq	gbs	177
ZeaSynDH-2367.fastq	gbsFlowcell	ZeaSynDH-2367.fastq	gbs	178
ZeaSynDH-107.fastq	gbsFlowcell	ZeaSynDH-107.fastq	gbs	179
ZeaSynDH-2099.fastq	gbsFlowcell	ZeaSynDH-2099.fastq	gbs	180
ZeaSynDH-800.fastq	gbsFlowcell	ZeaSynDH-800.fastq	gbs	181
ZeaSynDH-3657.fastq	gbsFlowcell	ZeaSynDH-3657.fastq	gbs	182
ZeaSynDH-2535.fastq	gbsFlowcell	ZeaSynDH-2535.fastq	gbs	183
ZeaSynDH-2972.fastq	gbsFlowcell	ZeaSynDH-2972.fastq	gbs	184
