SampleName	ReadMappingIds	LikelyParents
ZeaSynDH-3251.fastq	232		
ZeaSynDH-2838.fastq	233		
ZeaSynDH-2638.fastq	234		
ZeaSynDH-3613.fastq	235		
ZeaSynDH-2259.fastq	236		
ZeaSynDH-2436.fastq	237		
ZeaSynDH-2919.fastq	238		
ZeaSynDH-2551.fastq	239		
ZeaSynDH-2081.fastq	240		
ZeaSynDH-2946.fastq	241		
ZeaSynDH-365.fastq	242		
ZeaSynDH-3594.fastq	243		
ZeaSynDH-2198.fastq	244		
ZeaSynDH-3094.fastq	245		
ZeaSynDH-3252.fastq	246		
ZeaSynDH-2566.fastq	247		
ZeaSynDH-3614.fastq	248		
ZeaSynDH-2269.fastq	249		
ZeaSynDH-1021.fastq	250		
ZeaSynDH-2663.fastq	251		
ZeaSynDH-3528.fastq	252		
ZeaSynDH-1524.fastq	253		
ZeaSynDH-2407.fastq	254		
ZeaSynDH-2251.fastq	255		
ZeaSynDH-3412.fastq	256		
ZeaSynDH-2296.fastq	257		
ZeaSynDH-3102.fastq	258		
ZeaSynDH-3577.fastq	259		
ZeaSynDH-2722.fastq	260		
ZeaSynDH-2146.fastq	261		
ZeaSynDH-1240.fastq	262		
ZeaSynDH-2291.fastq	263		
ZeaSynDH-2035.fastq	264		
ZeaSynDH-407.fastq	265		
ZeaSynDH-2631.fastq	266		
ZeaSynDH-2306.fastq	267		
ZeaSynDH-3685.fastq	268		
ZeaSynDH-3253.fastq	269		
ZeaSynDH-2163.fastq	270		
ZeaSynDH-2325.fastq	271		
ZeaSynDH-3010.fastq	272		
ZeaSynDH-2104.fastq	273		
ZeaSynDH-2660.fastq	274		
ZeaSynDH-2249.fastq	275		
ZeaSynDH-2834.fastq	276		
ZeaSynDH-2129.fastq	277		
ZeaSynDH-2927.fastq	278		
ZeaSynDH-3083.fastq	279		
ZeaSynDH-2728.fastq	280		
ZeaSynDH-2514.fastq	281		
ZeaSynDH-2651.fastq	282		
ZeaSynDH-3483.fastq	283		
ZeaSynDH-2731.fastq	284		
ZeaSynDH-2432.fastq	285		
ZeaSynDH-2643.fastq	286		
ZeaSynDH-2383.fastq	287		
ZeaSynDH-2622.fastq	288		
ZeaSynDH-2959.fastq	289		
ZeaSynDH-3721.fastq	290		
ZeaSynDH-2006.fastq	291		
ZeaSynDH-1065.fastq	292		
ZeaSynDH-2531.fastq	293		
ZeaSynDH-3404.fastq	294		
ZeaSynDH-2212.fastq	295		
ZeaSynDH-2852.fastq	296		
ZeaSynDH-3761.fastq	297		
ZeaSynDH-2183.fastq	298		
ZeaSynDH-2326.fastq	299		
ZeaSynDH-2058.fastq	300		
ZeaSynDH-2592.fastq	301		
ZeaSynDH-3611.fastq	302		
ZeaSynDH-3590.fastq	303		
ZeaSynDH-1256.fastq	304		
ZeaSynDH-2301.fastq	305		
ZeaSynDH-3579.fastq	306		
ZeaSynDH-2358.fastq	307		
ZeaSynDH-2646.fastq	308		
ZeaSynDH-2557.fastq	309		
ZeaSynDH-2020.fastq	310		
ZeaSynDH-2661.fastq	311		
ZeaSynDH-2635.fastq	312		
ZeaSynDH-2938.fastq	313		
ZeaSynDH-2639.fastq	314		
ZeaSynDH-3538.fastq	315		
ZeaSynDH-2360.fastq	316		
ZeaSynDH-1237.fastq	317		
ZeaSynDH-3154.fastq	318		
ZeaSynDH-2568.fastq	319		
ZeaSynDH-2430.fastq	320		
ZeaSynDH-2077.fastq	321		
ZeaSynDH-1253.fastq	322		
ZeaSynDH-2564.fastq	323		
ZeaSynDH-3007.fastq	324		
ZeaSynDH-99.fastq	325		
ZeaSynDH-10.fastq	326		
ZeaSynDH-1045.fastq	327		
ZeaSynDH-2833.fastq	328		
ZeaSynDH-3051.fastq	329		
ZeaSynDH-2023.fastq	330		
ZeaSynDH-2587.fastq	331		
ZeaSynDH-2065.fastq	332		
ZeaSynDH-3222.fastq	333		
ZeaSynDH-3712.fastq	334		
ZeaSynDH-2969.fastq	335		
ZeaSynDH-1294.fastq	336		
ZeaSynDH-3727.fastq	337		
ZeaSynDH-2482.fastq	338		
ZeaSynDH-2950.fastq	339		
ZeaSynDH-3615.fastq	340		
ZeaSynDH-3254.fastq	341		
ZeaSynDH-3668.fastq	342		
ZeaSynDH-2145.fastq	343		
ZeaSynDH-2864.fastq	344		
ZeaSynDH-2903.fastq	345		
ZeaSynDH-2121.fastq	346		
ZeaSynDH-2963.fastq	347		
ZeaSynDH-725.fastq	348		
ZeaSynDH-3008.fastq	349		
ZeaSynDH-2091.fastq	350		
ZeaSynDH-2976.fastq	351		
ZeaSynDH-2273.fastq	352		
ZeaSynDH-26.fastq	353		
ZeaSynDH-3209.fastq	354		
ZeaSynDH-3238.fastq	355		
ZeaSynDH-1655.fastq	356		
ZeaSynDH-2899.fastq	357		
ZeaSynDH-3057.fastq	358		
ZeaSynDH-2323.fastq	359		
ZeaSynDH-2248.fastq	360		
ZeaSynDH-2289.fastq	361		
ZeaSynDH-3074.fastq	362		
ZeaSynDH-3182.fastq	363		
ZeaSynDH-1495.fastq	364		
ZeaSynDH-2322.fastq	365		
ZeaSynDH-2280.fastq	366		
ZeaSynDH-3465.fastq	367		
ZeaSynDH-3500.fastq	368		
ZeaSynDH-2502.fastq	369		
ZeaSynDH-2149.fastq	370		
ZeaSynDH-1343.fastq	371		
ZeaSynDH-2459.fastq	372		
ZeaSynDH-3636.fastq	373		
ZeaSynDH-2125.fastq	374		
ZeaSynDH-2352.fastq	375		
ZeaSynDH-3581.fastq	376		
ZeaSynDH-3193.fastq	377		
ZeaSynDH-3467.fastq	378		
ZeaSynDH-2538.fastq	379		
ZeaSynDH-3710.fastq	380		
ZeaSynDH-3187.fastq	381		
ZeaSynDH-2930.fastq	382		
ZeaSynDH-2658.fastq	383		
ZeaSynDH-1422.fastq	384		
ZeaSynDH-3375.fastq	385		
ZeaSynDH-3686.fastq	386		
ZeaSynDH-2047.fastq	387		
ZeaSynDH-3664.fastq	388		
ZeaSynDH-3519.fastq	389		
ZeaSynDH-2135.fastq	390		
ZeaSynDH-3469.fastq	391		
ZeaSynDH-2175.fastq	392		
ZeaSynDH-3595.fastq	393		
ZeaSynDH-2901.fastq	394		
ZeaSynDH-2258.fastq	395		
ZeaSynDH-3460.fastq	396		
ZeaSynDH-3213.fastq	397		
ZeaSynDH-3466.fastq	398		
ZeaSynDH-2473.fastq	399		
ZeaSynDH-2968.fastq	400		
ZeaSynDH-2293.fastq	401		
ZeaSynDH-1130.fastq	402		
ZeaSynDH-2275.fastq	403		
ZeaSynDH-3020.fastq	404		
ZeaSynDH-3674.fastq	405		
ZeaSynDH-2041.fastq	406		
